ID,Category,Subcategory,Amount,Payment_Method,Date,Essential
1,Food,Groceries,3000.00,UPI,2023-01-01,Essential
2,Stationery,Books,800.00,Cash,2023-01-03,Essential
3,Transportation,Bus fare,600.00,UPI,2023-01-05,Essential
4,Music App,Monthly subscription,200.00,UPI,2023-01-10,Non-Essential
5,Medications,Pharmacy,1200.00,Cash,2023-01-12,Essential
6,OTT Subscription,Monthly subscription,499.00,UPI,2023-01-15,Non-Essential
7,Trip,Weekend trip,2500.00,Cash,2023-01-20,Non-Essential
8,Miscellaneous,Snacks,600.00,UPI,2023-01-25,Non-Essential
9,Food,Cafeteria meals,1200.00,UPI,2023-01-28,Essential
10,Transportation,Auto fare,800.00,Cash,2023-01-30,Essential
11,Food,Groceries,2900.00,UPI,2023-02-01,Essential
12,Stationery,Stationery items,700.00,Cash,2023-02-03,Essential
13,Transportation,Bus fare,600.00,UPI,2023-02-05,Essential
14,Music App,Monthly subscription,200.00,UPI,2023-02-10,Non-Essential
15,Medications,Prescription meds,800.00,Cash,2023-02-12,Essential
16,OTT Subscription,Monthly subscription,499.00,UPI,2023-02-15,Non-Essential
17,Trip,Long weekend trip,2500.00,Cash,2023-02-20,Non-Essential
18,Miscellaneous,Kitchen items,600.00,UPI,2023-02-25,Non-Essential
19,Food,Cafeteria meals,1200.00,UPI,2023-02-28,Essential
20,Transportation,Auto fare,800.00,Cash,2023-02-28,Essential
21,Food,Groceries,3100.00,UPI,2023-03-01,Essential
22,Stationery,Art materials,1000.00,Cash,2023-03-03,Essential
23,Transportation,Bus fare,600.00,UPI,2023-03-05,Essential
24,Music App,Monthly subscription,200.00,UPI,2023-03-10,Non-Essential
25,Medications,Over-the-counter,1000.00,Cash,2023-03-12,Essential
26,OTT Subscription,Monthly subscription,499.00,UPI,2023-03-15,Non-Essential
27,Trip,Adventure trip,3000.00,Cash,2023-03-20,Non-Essential
28,Miscellaneous,Gym items,800.00,UPI,2023-03-25,Non-Essential
29,Food,Cafeteria meals,1200.00,UPI,2023-03-28,Essential
30,Transportation,Auto fare,800.00,Cash,2023-03-30,Essential
31,Food,Groceries,3100.00,UPI,2023-04-01,Essential
32,Stationery,Study materials,800.00,Cash,2023-04-02,Essential
33,Transportation,Bus fare,600.00,UPI,2023-04-05,Essential
34,Music App,Monthly subscription,200.00,UPI,2023-04-10,Non-Essential
35,Medications,Health supplements,1200.00,Cash,2023-04-12,Essential
